# Tag name          ;  color
FM stereo           ; #1BD91F
Marine radio        ; #1971E7

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
   100000000; test                     ; WFM (stereo)        ;     160000; FM stereo
   156300000; 06                       ; Narrow FM           ;      10000; Marine radio
   156375000; 67                       ; Narrow FM           ;      10000; Marine radio
   156400000; 08                       ; Narrow FM           ;      10000; Marine radio
   156425000; 68                       ; Narrow FM           ;      10000; Marine radio
   156450000; 09                       ; Narrow FM           ;      10000; Marine radio
   156475000; 69                       ; Narrow FM           ;      10000; Marine radio
   156500000; 10                       ; Narrow FM           ;      10000; Marine radio
   156550000; 11                       ; Narrow FM           ;      10000; Marine radio
   156575000; 71                       ; Narrow FM           ;      10000; Marine radio
   156600000; 12                       ; Narrow FM           ;      10000; Marine radio
   156625000; 72                       ; Narrow FM           ;      10000; Marine radio
   156650000; 13                       ; Narrow FM           ;      10000; Marine radio
   156675000; 73                       ; Narrow FM           ;      10000; Marine radio
   156700000; 14                       ; Narrow FM           ;      10000; Marine radio
   156725000; 74                       ; Narrow FM           ;      10000; Marine radio
   156750000; 15                       ; Narrow FM           ;      10000; Marine radio
   156775000; 75                       ; Narrow FM           ;      10000; Marine radio
   156800000; 16                       ; Narrow FM           ;      10000; Marine radio
   156825000; 76                       ; Narrow FM           ;      10000; Marine radio
   156850000; 17                       ; Narrow FM           ;      10000; Marine radio
   156875000; 77                       ; Narrow FM           ;      10000; Marine radio
   156925000; 1078                     ; Narrow FM           ;      10000; Marine radio
   156975000; 1079                     ; Narrow FM           ;      10000; Marine radio
   157000000; 1020                     ; Narrow FM           ;      10000; Marine radio
   157375000; 87                       ; Narrow FM           ;      10000; Marine radio
   157425000; 88                       ; Narrow FM           ;      10000; Marine radio
   161525000; 2078                     ; Narrow FM           ;      10000; Marine radio
   161550000; 2019                     ; Narrow FM           ;      10000; Marine radio
   161575000; 2079                     ; Narrow FM           ;      10000; Marine radio
   161600000; 2020                     ; Narrow FM           ;      10000; Marine radio
   161975000; AIS1                     ; Narrow FM           ;      10000; Marine radio
   162025000; AIS2                     ; Narrow FM           ;      10000; Marine radio